"PID","PRODUCT_NAME","MFG","HSN_CODE","GST_D"
"hbdcs","product_unknown","unk",123450,15.5
"id-1234","sample7896","mfg007",456700,19.48
"id01","sample01","mfg1",100000,12
"id02","sample02","mfg1",200000,12
"id03","sample03","mfg2",300000,12
"id05","sample05","mfg_pqr",500000,6
"id06","sample06","new-mfG",600000,12
"id07","sample07","mfg1",700000,12
"id08","sample08","mfg_pqr",811111,12
"id09","sample09","mfg2",955555,12
"id10","sample10","mfg3",107676,24
"id11","sample11","mfg4",117676,24
"id12","sample12","mfg_pqr",128787,12
"id13","sample13","mfg1",130000,12
"id14","sample14","mfg2",140000,6
"id15","sample15","mfg_PQR",140001,6
"id16","sample16","mfg4",140002,12
"id17","sample17","mfg4",140003,0
"id18","sample18","mfg1",140004,0
"id19","sample19","mfg_pqr",140005,12
"id20","sample20","Mfg_5",140006,12
"idxx","samplexx","Mfg_5",140007,0
"id04","sample04","mfg2",140008,6
