"BILL","ALIAS","INVOICE_DATE","CHL_NO","CHL_DT","PO_NO","PO_DT","NARR"
1,"alias05",04/07/2025,0,"00/00/2020",,"10/20/2030",
2,"alias03",09/12/2025,1,"00/00/2021",,"40/40/2031",
3,"alias01",13/07/2025,"1339","00/00/2022","0i3;mo","10/20/2032","This bill has subdata"
4,"alias11",13/07/2025,1,"00/00/2023",,"10/20/2033",
5,"alias09",14/07/2025,132,"00/00/2024","AA403","10/20/2034",
6,"alias08",20/07/2025,1,"00/00/2025",,"10/20/2035",
7,"alias04",22/20/2025,132,"00/00/2026","-----","10/20/2036",
8,"alias03",24/07/2025,1,"00/00/2027",,"10/20/2037",
9,"alias08",07/08/2025,132,"00/00/2028",1234,"10/20/2038",
10,"alias10",09/08/2025,1,"00/00/2029",,"10/20/2039",
11,"alias17",14/08/2025,1,"00/00/2030",,"10/20/2040",
12,"alias06",16/08/2025,0,"00/00/2031",,"10/20/2041",
13,"alias06",12/09/2025,0,"00/00/2032",,"10/20/2042",
15,"alias05",18/09/2025,0,"00/00/2033",,"10/20/2043",
16,"alias06",28/09/2025,0,"00/00/2034",,"10/20/2044",
17,"alias06",30/09/2025,0,"00/00/2035",,"10/20/2045",
