"BILL","SR_NO","PID","QTY","RATE","GST","DISC","MRP","BATCH","EXPIRY"
1,1,"id01",12,100,5,0,400,"pasn8924","9e/32in"
1,2,"id07",4,150,5,0,600,"batch07","ex/1p07"
1,3,"id12",2,150,12,0,600,"batch12","ex/1p12"
2,1,"id06",5,200,12,0,800,"batch06","ex/1p06"
2,2,"id12",4,50,12,0,200,"batch12","ex/1p12"
3,1,"id10",5,100,18,23,400,"batch10","ex/1p10"
3,2,"id06",42,22.32,12,12.32,90,"batch06","ex/1p06"
3,3,"id06",20,20,5,10,80,"batch06","ex/1p06"
4,1,"id01",3,50,5,0,200,"batch01","ex/1p01"
4,2,"id05",9,200,18,0,800,"batch05","ex/1p05"
4,3,"id04",1,150,12,14.5,600,"batch04","ex/1p04"
5,1,"id08",10,120,12,10,480,"batch08","ex/1p08"
6,1,"id06",24,154,12,10,616,"batch06","ex/1p06"
7,1,"id01",4,200,12,0,800,"batch01","ex/1p01"
7,2,"id03",2,200,12,0,800,"bat0003","ex/1203"
7,3,"id15",1,50,12,0,200,"batch15","ex/1p15"
7,4,"id10",5,250,12,25,1000,"bat0010","ex/1210"
7,5,"id05",13,15,6,0,0,"-----","--/----"
8,1,"id05",3,100,5,0,400,"batch05","ex/1p05"
9,1,"id05",3,100,6,0,400,"batch05","ex/1p05"
9,2,"id07",4,150,12,0,600,"batch07","ex/1p07"
10,1,"id07",20,150,18,0,600,"batch07","ex/1p07"
11,1,"id07",50,150,12,0,600,"batch07","ex/1p07"
11,2,"id12",100,150,12,0,600,"batch12","ex/1p12"
11,3,"id14",18,150,5,0,600,"batch12","ex/1p12"
11,4,"id01",22,150,5,0,600,"batch12","ex/1p12"
12,1,"id05",10,10,6,10,0,"-----","--/----"
12,2,"id08",22,22,12,10,0,"batch08","ex/1p08"
17,1,"id16",50,10,12,10,0,"batch16","ex/0p16"
17,2,"id13",14,14,12,0,0,"batch13","ex/0013"
